Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA
I2,19/09/15,Vicenza,Como,3,3,D,2,2,D,1.75,3.4,5,1.78,3.25,4.75,1.75,3.1,4.5,1.75,3.2,5.25,1.83,3.34,5.49,1.83,2.9,5,1.8,3.25,5.5,39,1.83,1.77,3.4,3.19,5.5,4.88,28,2.5,2.4,1.57,1.53,20,-0.5,1.84,1.78,2.13,2.05
I2,21/09/15,Ternana,Livorno,2,3,A,2,1,H,3.4,3,2.3,3.3,3,2.25,3.1,2.8,2.3,3.3,2.9,2.38,3.56,3,2.44,3.2,3,2.3,3.5,3,2.3,39,3.56,3.26,3.1,2.95,2.44,2.28,29,2.51,2.4,1.57,1.53,25,0.25,1.91,1.85,2.04,1.96
I2,22/09/15,Avellino,Novara,0,0,D,0,0,D,2.2,3.1,3.5,2.3,3,3.2,2.2,2.8,3.3,2.25,3,3.4,2.33,3.19,3.54,2.2,3,3.5,2.3,3.1,3.4,40,2.33,2.21,3.2,3.05,3.7,3.31,31,2.3,2.18,1.72,1.64,25,-0.25,2.01,1.93,1.93,1.87
I2,22/09/15,Brescia,Pro Vercelli,2,0,H,1,0,H,2.25,3.1,3.4,2.25,3.1,3.2,2.2,2.8,3.3,2.25,3,3.4,2.27,3.2,3.69,2.2,3.1,3.3,2.3,3,3.6,40,2.3,2.2,3.2,3.03,3.69,3.34,29,2.5,2.29,1.66,1.58,25,-0.25,1.98,1.91,1.99,1.9
I2,22/09/15,Cesena,Modena,2,0,H,1,0,H,1.85,3.3,4.5,1.87,3.15,4.3,1.85,3,4.2,1.91,3.1,4.5,1.99,3.22,4.71,1.85,3.2,4.5,1.91,3.2,4.75,40,1.99,1.88,3.3,3.16,5,4.3,29,2.38,2.28,1.63,1.58,26,-0.5,1.99,1.89,1.98,1.91
I2,22/09/15,Como,Trapani,0,0,D,0,0,D,2.38,3.1,3.1,2.45,3,2.95,2.4,2.8,3,2.4,3,3.1,2.59,3.09,3.17,2.5,2.8,3.1,2.45,3,3.2,40,2.59,2.41,3.1,2.95,3.23,3.03,27,2.5,2.31,1.64,1.57,25,-0.25,2.18,2.06,1.81,1.76
I2,22/09/15,Crotone,Bari,4,1,H,2,1,H,3,3,2.5,2.85,3,2.5,3,2.8,2.4,3,2.9,2.5,3.18,3.03,2.62,3.1,2.8,2.5,3.13,2.9,2.6,40,3.23,2.99,3.05,2.91,2.64,2.47,29,2.5,2.4,1.57,1.53,24,0,2.2,2.1,1.78,1.72
I2,22/09/15,Latina,Ascoli,1,0,H,1,0,H,1.85,3.2,4.75,1.8,3.3,4.5,1.9,3,4,1.85,3.1,4.5,1.95,3.26,4.87,1.83,3.2,4.5,1.9,3.13,5,38,1.95,1.86,3.3,3.16,5,4.35,28,2.51,2.4,1.57,1.53,23,-0.5,1.95,1.88,2.02,1.93
I2,22/09/15,Pescara,Salernitana,1,1,D,1,0,H,2,3.2,4,2.1,3.1,3.5,2,2.9,3.7,2.05,3.1,3.8,2.11,3.28,4.06,2.05,3.1,3.8,2.05,3.2,4,40,2.15,2.03,3.28,3.14,4.19,3.68,33,2.25,2.11,1.78,1.69,26,-0.5,2.12,2.03,1.85,1.78
I2,22/09/15,Spezia,Perugia,1,0,H,1,0,H,2.1,3.1,3.75,2.1,2.95,3.75,2.2,2.8,3.3,2.15,2.9,3.75,2.15,3.15,4.12,2.05,3.1,3.75,2.1,3.1,4,39,2.2,2.08,3.2,3.06,4.12,3.63,28,2.42,2.32,1.6,1.56,24,-0.25,1.87,1.79,2.13,2.02
I2,22/09/15,Virtus Entella,Cagliari,1,3,A,1,1,D,4.33,3.2,1.91,4.2,3.2,1.9,4,3,1.9,4,3.1,1.95,4.53,3.23,2.02,3.8,3.2,2,4.33,3.25,1.95,39,4.53,4.01,3.3,3.16,2.02,1.93,31,2.33,2.18,1.72,1.65,25,0.5,1.92,1.86,2.02,1.94
I2,22/09/15,Virtus Lanciano,Vicenza,0,0,D,0,0,D,2.38,3,3.25,2.45,2.95,3,2.3,2.8,3.1,2.4,2.88,3.3,2.51,3.01,3.4,2.5,2.8,3.1,2.45,2.9,3.4,39,2.51,2.38,3.1,2.91,3.4,3.13,26,2.57,2.41,1.57,1.53,24,-0.25,2.11,2.02,1.85,1.8
